"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","LD%","GB%","FB%","HR/FB","wOBA","WAR","wRC+","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","EV","LA","maxEV","Barrel%","HardHit%","CSW%","xBA","xSLG","xwOBA","playerid"
"Oneil Cruz","PIT","87","331","361","77","43","13","4","17","45","54","28","1","126","1","1","0","3","10","4",".233","7.8%","34.9%",".294",".450",".744",".218",".317","16.5%","49.0%","34.5%","23.9%",".320","1.2","106","32.3%","54.3%","40.6%","49.7%","82.6%","13.7%","43.7%","34.5%","21.8%","18.4%","43.2%","38.3%","91.9","8.3","122.4","15.5%","45.6%","35.4%",".223",".410",".304","21711"
"Jurickson Profar","SDP","152","575","658","140","87","36","2","15","82","58","73","0","103","4","3","3","12","5","1",".243","11.1%","15.7%",".331",".391",".723",".148",".272","21.7%","43.9%","34.4%","9.2%",".320","2.5","110","27.0%","65.5%","43.3%","72.6%","88.7%","7.4%","43.9%","31.4%","24.7%","20.1%","50.4%","29.5%","87.5","12.9","109.4","4.0%","34.3%","25.6%",".251",".359",".315","10815"
"Sam Haggerty","SEA","83","176","201","45","30","9","1","5","29","23","18","3","53","4","2","1","4","13","1",".256","9.0%","26.4%",".335",".403",".738",".148",".333","23.3%","45.0%","31.7%","13.2%",".320","1.5","114","29.1%","72.4%","47.7%","56.6%","82.0%","12.8%","40.5%","34.1%","25.4%","18.3%","57.1%","24.6%","86.0","13.6","109.0","4.0%","24.6%","29.3%",".230",".330",".285","18054"
"Jean Segura","PHI","98","354","387","98","79","9","0","10","45","33","25","1","58","7","1","0","16","13","6",".277","6.5%","15.0%",".336",".387",".723",".110",".307","16.5%","56.6%","26.9%","12.5%",".320","1.7","105","37.5%","66.1%","48.6%","75.4%","90.1%","8.2%","31.3%","38.7%","30.0%","23.6%","49.8%","26.6%","87.6","4.3","111.0","4.4%","38.4%","26.5%",".254",".363",".303","5933"
"Nico Hoerner","CHC","135","481","517","135","98","22","5","10","60","55","28","4","57","6","2","0","11","20","2",".281","5.4%","11.0%",".327",".410",".736",".129",".300","20.7%","46.1%","33.2%","7.1%",".320","4.0","106","36.2%","67.1%","49.1%","77.0%","93.9%","6.6%","36.4%","33.8%","29.8%","15.7%","60.3%","23.9%","87.2","10.7","109.7","2.6%","32.9%","24.6%",".270",".366",".301","21479"
"Juan Yepez","STL","76","253","274","64","39","13","0","12","27","30","16","0","61","1","4","0","6","0","0",".253","5.8%","22.3%",".296",".447",".742",".194",".283","15.3%","37.8%","46.9%","13.0%",".319","0.1","109","40.2%","74.7%","54.5%","60.9%","88.5%","12.8%","48.5%","30.6%","20.9%","22.4%","48.0%","29.6%","86.5","17.1","114.4","9.2%","33.7%","25.5%",".216",".394",".286","18400"
"Alex Verdugo","BOS","152","593","644","166","115","39","1","11","75","74","42","2","86","3","6","0","14","1","3",".280","6.5%","13.4%",".328",".405",".732",".125",".309","21.4%","45.6%","32.9%","6.5%",".319","1.2","103","29.0%","64.9%","45.2%","72.7%","93.3%","6.3%","32.2%","42.3%","25.5%","14.4%","55.0%","30.6%","89.1","8.4","111.0","6.0%","37.8%","25.1%",".278",".428",".329","17027"
"Mitch Haniger","SEA","57","224","247","55","36","8","0","11","31","34","20","1","65","1","2","0","7","0","0",".246","8.1%","26.3%",".308",".429",".736",".183",".293","19.9%","37.3%","42.9%","15.9%",".319","0.8","113","30.2%","67.2%","45.4%","57.1%","82.5%","12.4%","46.0%","32.3%","21.7%","16.8%","47.2%","36.0%","91.9","18.2","111.0","11.8%","47.2%","30.3%",".245",".450",".328","14274"
"Donovan Solano","CIN","80","278","304","79","59","16","0","4","22","24","19","1","61","5","2","0","5","0","0",".284","6.3%","20.1%",".339",".385",".724",".101",".349","27.4%","44.7%","27.9%","6.6%",".319","0.5","98","36.2%","66.7%","49.5%","67.9%","90.7%","9.3%","36.5%","37.4%","26.0%","13.2%","53.9%","32.9%","88.3","10.7","107.3","5.9%","39.7%","28.4%",".268",".393",".315","8623"
"Christian Arroyo","BOS","87","280","300","80","57","16","1","6","32","36","13","2","49","3","2","2","7","5","1",".286","4.3%","16.3%",".322",".414",".736",".129",".326","25.3%","45.5%","29.2%","8.8%",".319","0.2","102","43.0%","78.2%","57.4%","68.9%","92.2%","10.4%","35.3%","40.0%","24.7%","17.0%","51.5%","31.5%","88.9","9.1","112.2","6.4%","42.1%","21.5%",".292",".430",".330","16434"
"Jake Cronenworth","SDP","158","587","684","140","89","30","4","17","88","88","70","3","131","16","8","0","2","3","0",".239","10.2%","19.2%",".332",".390",".722",".152",".275","16.9%","35.4%","47.7%","7.7%",".318","4.1","109","25.4%","61.5%","41.7%","69.7%","91.3%","6.6%","33.6%","36.6%","29.7%","17.9%","56.5%","25.6%","87.6","18.1","108.6","5.6%","33.8%","28.0%",".221",".356",".303","18036"
"Max Muncy","LAD","136","464","565","91","47","22","1","21","69","69","90","1","141","5","6","0","2","2","0",".196","15.9%","25.0%",".329",".384",".713",".188",".227","19.0%","31.5%","49.5%","13.0%",".318","2.4","106","21.2%","61.7%","38.4%","59.3%","82.3%","9.6%","49.2%","31.3%","19.5%","11.2%","47.7%","41.0%","90.3","20.9","111.2","13.4%","44.7%","30.0%",".208",".417",".339","13301"
"Tommy Edman","STL","153","577","630","153","105","31","4","13","95","57","46","2","111","5","1","1","10","32","3",".265","7.3%","17.6%",".324",".400",".725",".135",".308","19.6%","49.5%","31.0%","9.0%",".318","5.6","108","34.2%","63.8%","46.7%","67.5%","90.9%","8.8%","38.5%","38.0%","23.5%","15.6%","54.9%","29.5%","88.6","8.7","112.8","6.2%","37.6%","26.6%",".258",".380",".308","19470"
"Thairo Estrada","SFG","140","488","541","127","89","22","2","14","71","62","33","0","89","14","5","1","10","21","6",".260","6.1%","16.5%",".322",".400",".722",".139",".290","19.9%","50.5%","29.5%","12.0%",".317","2.7","106","35.5%","68.7%","48.7%","69.2%","90.8%","9.1%","44.9%","33.3%","21.7%","19.5%","56.8%","23.7%","86.2","8.1","109.3","4.4%","30.6%","25.7%",".246",".352",".299","16426"
"Marcus Semien","TEX","161","657","724","163","101","31","5","26","101","83","53","0","120","4","10","0","7","25","8",".248","7.3%","16.6%",".304",".429",".733",".181",".263","19.0%","33.8%","47.2%","10.1%",".317","4.2","107","29.0%","74.7%","47.2%","64.7%","90.3%","9.0%","46.3%","31.3%","22.5%","18.1%","52.3%","29.6%","87.3","19.9","110.1","6.8%","34.9%","24.6%",".243",".394",".306","12533"
"Ketel Marte","ARI","137","492","558","118","62","42","2","12","68","52","55","3","101","6","5","0","12","5","1",".240","9.9%","18.1%",".321",".407",".727",".167",".276","18.7%","42.3%","39.0%","7.8%",".317","1.4","102","30.7%","68.5%","46.0%","73.4%","86.3%","8.7%","44.4%","34.6%","21.0%","14.9%","50.5%","34.6%","90.1","13.5","115.0","6.1%","41.9%","24.7%",".251",".377",".315","13613"
"Charlie Blackmon","COL","135","530","577","140","96","22","6","16","60","78","32","4","109","8","3","4","10","4","1",".264","5.5%","18.9%",".314",".419",".733",".155",".304","22.7%","43.4%","33.9%","11.2%",".317","0.1","89","35.9%","71.8%","51.4%","72.0%","87.5%","9.6%","40.7%","36.9%","22.4%","15.2%","56.1%","28.7%","86.2","12.4","109.5","4.4%","30.6%","24.5%",".256",".376",".301","7859"
"Patrick Wisdom","CHC","134","469","534","97","44","28","0","25","67","66","53","1","183","9","2","1","8","8","4",".207","9.9%","34.3%",".298",".426",".725",".220",".274","17.1%","34.1%","48.8%","17.9%",".316","1.1","104","30.0%","73.4%","48.0%","48.1%","77.0%","16.1%","51.2%","29.4%","19.4%","18.7%","45.0%","36.3%","90.7","21.0","112.6","14.2%","46.0%","30.8%",".188",".380",".295","13602"
"Trevor Story","BOS","94","357","396","85","47","22","0","16","53","66","32","4","122","3","4","0","9","13","0",".238","8.1%","30.8%",".303",".434",".737",".196",".309","19.2%","35.6%","45.2%","14.8%",".316","2.4","100","36.9%","70.1%","49.8%","60.7%","82.1%","13.7%","42.3%","32.6%","25.1%","18.4%","48.5%","33.1%","88.9","17.8","113.4","11.3%","40.6%","28.9%",".221",".397",".301","12564"
"Ryan Mountcastle","BAL","145","555","609","139","88","28","1","22","62","85","43","1","154","4","7","0","12","4","1",".250","7.1%","25.3%",".305",".423",".729",".173",".303","22.1%","37.3%","40.7%","13.3%",".316","1.6","106","41.0%","81.5%","56.3%","62.4%","80.8%","15.5%","33.8%","36.8%","29.4%","12.7%","52.0%","35.3%","91.3","15.9","112.0","15.0%","45.8%","25.8%",".277",".509",".362","18373"
"Nolan Gorman","STL","89","283","313","64","37","13","0","14","44","35","28","0","103","2","0","0","2","1","0",".226","8.9%","32.9%",".300",".420",".721",".194",".301","25.0%","26.7%","48.3%","16.1%",".316","0.5","107","34.2%","76.7%","50.8%","53.5%","78.9%","16.0%","41.1%","36.1%","22.8%","16.1%","48.9%","35.0%","89.2","20.0","110.6","14.4%","43.3%","28.9%",".239",".476",".341","22263"
"Rodolfo Castro","PIT","71","253","278","59","36","8","4","11","25","27","22","0","74","2","1","0","6","5","3",".233","7.9%","26.6%",".299",".427",".725",".194",".284","18.6%","48.0%","33.3%","18.6%",".315","0.9","103","30.6%","70.0%","47.4%","50.0%","79.8%","14.8%","45.0%","30.0%","25.0%","18.3%","57.2%","24.4%","87.3","11.7","111.6","6.7%","35.0%","30.8%",".210",".354",".280","21987"
"Cedric Mullins II","BAL","156","608","672","157","105","32","4","16","89","64","47","2","126","9","5","1","4","34","10",".258","7.0%","18.8%",".318",".403",".721",".145",".299","17.7%","38.7%","43.6%","7.7%",".315","3.4","106","34.2%","71.7%","50.7%","72.3%","86.4%","9.6%","43.9%","32.6%","23.6%","19.3%","53.9%","26.8%","88.8","17.4","109.4","4.9%","36.7%","24.3%",".232",".349",".288","17929"
"Yadiel Hernandez","WSN","94","305","327","82","57","16","0","9","30","41","19","0","74","1","2","0","9","2","1",".269","5.8%","22.6%",".312",".410",".722",".141",".326","21.5%","51.1%","27.5%","14.1%",".315","-0.1","101","34.9%","74.4%","51.3%","62.6%","79.2%","14.0%","33.0%","41.2%","25.8%","15.0%","50.2%","34.8%","88.8","3.5","108.0","8.6%","42.1%","28.1%",".244",".407",".310","19334"
"Austin Barnes","LAD","62","179","212","38","24","6","0","8","31","26","27","0","37","3","1","2","5","2","1",".212","12.7%","17.5%",".324",".380",".704",".168",".222","14.8%","42.3%","43.0%","13.1%",".315","1.4","104","19.8%","67.7%","41.8%","68.1%","89.8%","6.6%","38.6%","31.7%","29.7%","20.0%","55.2%","24.8%","87.4","13.6","107.8","4.8%","35.2%","25.5%",".210",".329",".298","12158"
"David Peralta","- - -","134","439","490","110","65","30","3","12","39","59","41","5","114","4","6","0","8","1","3",".251","8.4%","23.3%",".316",".415",".731",".164",".307","22.7%","36.3%","41.1%","8.8%",".315","1.7","104","35.8%","70.9%","50.3%","59.0%","87.3%","12.3%","39.0%","39.3%","21.8%","17.5%","48.9%","33.5%","90.3","15.1","113.0","8.5%","44.1%","27.3%",".249",".399",".313","2136"
"Randal Grichuk","COL","141","506","538","131","88","21","3","19","60","73","24","0","127","6","2","0","12","4","0",".259","4.5%","23.6%",".299",".425",".724",".166",".309","12.9%","50.9%","36.2%","13.8%",".315","-0.2","88","36.9%","71.5%","50.6%","62.1%","88.9%","11.6%","37.3%","36.2%","26.5%","15.2%","48.3%","36.5%","90.0","8.7","111.6","6.8%","43.6%","27.3%",".229",".370",".281","10243"
"Tyrone Taylor","MIL","120","373","405","87","46","21","3","17","49","51","22","0","102","7","3","0","11","3","2",".233","5.4%","25.2%",".286",".442",".729",".209",".272","17.9%","38.1%","44.0%","14.2%",".314","2.1","102","36.4%","70.8%","50.9%","59.2%","85.9%","12.7%","40.9%","38.0%","21.2%","14.6%","51.5%","33.9%","88.0","16.9","109.3","9.9%","37.6%","28.7%",".236",".412",".307","13675"
"Austin Hays","BAL","145","535","582","134","81","35","2","16","66","60","34","0","114","10","3","0","11","2","4",".250","5.8%","19.6%",".306",".413",".719",".163",".289","19.2%","43.1%","37.7%","10.1%",".314","1.5","105","39.7%","68.0%","50.9%","64.2%","90.4%","11.2%","43.4%","33.5%","23.1%","21.7%","47.9%","30.4%","87.7","11.3","109.0","5.2%","37.7%","27.3%",".240",".372",".298","19363"
"Jonathan India","CIN","103","386","431","96","68","16","2","10","48","41","31","1","94","14","0","0","5","3","4",".249","7.2%","21.8%",".327",".378",".705",".130",".305","22.7%","41.2%","36.1%","9.5%",".314","0.4","95","27.9%","57.8%","41.2%","62.7%","88.8%","8.7%","45.9%","33.2%","20.9%","22.6%","51.7%","25.7%","85.1","14.5","111.3","4.8%","28.8%","31.5%",".238",".353",".301","21523"
"Connor Joe","COL","111","404","467","96","65","20","4","7","56","28","55","0","97","7","1","0","8","6","2",".238","11.8%","20.8%",".338",".359",".697",".121",".296","20.8%","46.4%","32.8%","6.9%",".314","0.0","87","25.9%","59.6%","40.4%","65.4%","89.9%","7.7%","36.4%","38.0%","25.6%","25.0%","49.0%","26.0%","85.3","10.6","110.1","4.5%","33.8%","29.3%",".241",".340",".311","16572"
"Luis Rengifo","LAA","127","489","511","129","86","22","4","17","45","52","17","0","79","4","0","1","11","6","2",".264","3.3%","15.5%",".294",".429",".724",".166",".285","17.8%","47.2%","35.0%","11.9%",".314","1.6","103","39.9%","78.6%","55.7%","68.9%","87.7%","11.3%","40.9%","42.1%","17.0%","18.0%","57.9%","24.1%","86.9","9.9","109.3","5.4%","33.3%","23.3%",".254",".392",".296","19858"
"Bryan De La Cruz","MIA","115","329","355","83","50","20","0","13","38","43","19","0","90","2","4","0","8","4","0",".252","5.4%","25.4%",".294",".432",".725",".179",".304","27.6%","41.6%","30.9%","17.3%",".313","0.6","104","34.4%","73.3%","49.1%","60.6%","84.4%","12.8%","40.3%","36.6%","23.0%","8.2%","52.7%","39.1%","90.8","9.8","111.2","11.9%","47.1%","28.6%",".287",".498",".355","19600"
"Ramon Urias","BAL","118","403","445","100","66","17","1","16","50","51","30","1","98","5","4","3","7","1","0",".248","6.7%","22.0%",".305",".414",".720",".166",".287","18.1%","47.2%","34.6%","15.0%",".313","2.6","104","33.8%","72.9%","49.9%","65.2%","81.5%","12.5%","41.7%","33.7%","24.7%","17.6%","48.4%","34.0%","89.4","11.0","110.0","9.6%","46.5%","28.3%",".250",".420",".320","18795"
"Eric Hosmer","- - -","104","380","419","102","75","19","0","8","38","44","37","5","64","1","1","0","12","0","0",".268","8.8%","15.3%",".334",".382",".716",".113",".304","18.0%","56.8%","25.2%","10.0%",".313","0.3","104","37.1%","67.6%","48.9%","71.7%","93.4%","8.2%","39.1%","34.7%","26.2%","22.7%","49.8%","27.4%","88.4","3.1","112.9","5.7%","39.7%","23.7%",".258",".379",".311","3516"
"Ha-seong Kim","SDP","150","517","582","130","87","29","3","11","58","59","51","0","100","7","4","3","9","12","2",".251","8.8%","17.2%",".325",".383",".708",".132",".290","21.2%","39.5%","39.3%","6.7%",".313","3.7","105","27.5%","62.3%","43.1%","74.3%","88.3%","7.2%","46.5%","36.1%","17.5%","19.8%","52.8%","27.4%","86.7","16.1","109.4","4.2%","32.3%","27.6%",".250",".368",".309","27506"
"Jesse Winker","SEA","136","456","547","100","71","15","0","14","51","53","84","1","103","4","3","0","8","0","0",".219","15.4%","18.8%",".344",".344",".688",".125",".251","20.6%","38.9%","40.6%","9.7%",".313","0.4","108","22.3%","72.0%","43.2%","64.8%","88.3%","8.1%","38.5%","35.7%","25.8%","20.5%","50.8%","28.7%","87.7","16.8","110.0","7.6%","34.3%","23.0%",".249",".403",".345","13590"
"Wilmer Flores","SFG","151","525","602","120","72","28","1","19","72","71","59","1","103","11","7","0","7","0","0",".229","9.8%","17.1%",".316",".394",".710",".166",".246","19.1%","34.3%","46.6%","9.5%",".312","1.4","103","30.7%","68.1%","45.6%","71.6%","90.1%","7.9%","48.6%","29.2%","22.2%","16.1%","54.2%","29.7%","87.8","20.7","108.3","6.3%","35.2%","26.2%",".233",".370",".310","5827"
"Trey Mancini","- - -","143","519","587","124","82","23","1","18","56","63","53","2","135","10","5","0","12","0","0",".239","9.0%","23.0%",".319",".391",".710",".152",".286","21.1%","39.8%","39.1%","11.8%",".312","0.9","104","33.4%","69.4%","48.1%","59.8%","85.1%","12.2%","45.0%","32.1%","22.9%","13.6%","53.2%","33.2%","89.5","12.7","111.8","9.5%","40.1%","28.2%",".245",".410",".327","15149"
"Christian Vazquez","- - -","119","398","426","109","77","23","0","9","41","52","22","0","69","3","3","0","10","1","4",".274","5.2%","16.2%",".315",".399",".714",".126",".310","22.6%","45.2%","32.2%","8.4%",".312","1.6","99","35.5%","68.1%","49.2%","77.4%","90.6%","7.4%","34.0%","38.3%","27.7%","15.7%","58.4%","25.9%","87.9","10.7","109.5","5.1%","36.4%","24.8%",".262",".375",".301","9774"
"Jose Iglesias","COL","118","439","467","128","95","30","0","3","48","47","17","0","56","8","3","0","11","2","3",".292","3.6%","12.0%",".328",".380",".708",".089",".326","22.1%","52.2%","25.7%","3.0%",".312","1.0","85","43.2%","64.6%","51.9%","81.3%","93.7%","6.4%","41.5%","36.3%","22.3%","23.3%","54.7%","22.0%","83.8","6.0","109.9","0.5%","27.5%","25.8%",".266",".323",".281","10231"
"Luis Guillorme","NYM","102","297","335","81","66","12","1","2","33","17","34","1","46","2","0","2","15","1","0",".273","10.1%","13.7%",".351",".340",".691",".067",".317","25.6%","55.3%","19.1%","4.3%",".311","1.3","106","25.1%","59.1%","40.4%","83.1%","92.6%","4.3%","27.7%","43.1%","29.2%","12.6%","65.6%","21.7%","86.2","4.3","110.3","2.4%","24.9%","26.8%",".255",".335",".302","16451"
"Luke Voit","- - -","135","500","568","113","69","22","0","22","55","69","55","1","179","7","6","0","9","1","1",".226","9.7%","31.5%",".308",".402",".710",".176",".298","25.7%","33.9%","40.4%","16.7%",".311","0.2","102","34.4%","80.7%","52.0%","46.1%","76.5%","18.7%","48.9%","31.5%","19.6%","15.0%","47.4%","37.6%","89.8","18.4","111.3","14.7%","44.3%","29.0%",".222",".434",".322","14811"
"Eduardo Escobar","NYM","136","495","542","119","69","26","4","20","58","69","40","3","129","1","6","0","4","0","2",".240","7.4%","23.8%",".295",".430",".726",".190",".281","22.8%","29.8%","47.3%","11.4%",".311","2.3","106","38.1%","74.7%","52.4%","64.3%","84.7%","12.7%","43.0%","35.5%","21.5%","16.9%","54.8%","28.2%","88.3","20.6","111.5","9.4%","37.4%","27.2%",".243",".427",".314","6153"
"Jack Suwinski","PIT","106","326","372","66","36","11","0","19","45","38","41","1","114","4","1","0","5","4","2",".202","11.0%","30.6%",".298",".411",".709",".209",".242","15.5%","42.3%","42.3%","21.1%",".311","1.8","100","27.4%","63.2%","43.1%","51.2%","84.9%","11.7%","46.9%","31.0%","22.1%","19.2%","44.1%","36.6%","88.3","14.3","112.4","12.2%","39.9%","31.2%",".204",".393",".307","22244"
"Amed Rosario","CLE","153","637","670","180","134","26","9","11","86","71","25","0","111","4","4","0","19","18","4",".283","3.7%","16.6%",".312",".403",".715",".121",".326","20.2%","52.5%","27.4%","7.6%",".311","2.4","103","42.5%","68.4%","53.1%","73.4%","88.4%","9.9%","34.7%","37.9%","27.4%","16.2%","57.4%","26.4%","88.4","5.0","115.8","4.5%","38.5%","26.9%",".276",".396",".310","15518"
"Bobby Witt Jr.","KCR","150","591","632","150","93","31","6","20","82","80","30","2","135","6","5","0","12","30","7",".254","4.7%","21.4%",".294",".428",".722",".174",".295","17.4%","36.2%","46.4%","9.3%",".311","2.3","99","37.3%","73.1%","51.8%","66.8%","85.6%","11.6%","35.8%","38.6%","25.6%","16.1%","53.1%","30.8%","89.7","16.8","113.7","8.7%","38.6%","27.4%",".252",".427",".313","25764"
"Wil Myers","SDP","77","261","286","68","46","15","0","7","29","41","21","1","86","1","3","0","7","2","1",".261","7.3%","30.1%",".315",".398",".713",".138",".357","21.6%","40.3%","38.1%","10.4%",".311","1.0","104","32.2%","63.2%","45.2%","58.1%","78.8%","13.4%","38.8%","31.5%","29.8%","16.9%","48.9%","34.3%","88.5","13.0","109.4","7.3%","37.6%","31.9%",".225",".373",".288","10047"
"MJ Melendez","KCR","129","460","534","100","58","21","3","18","57","62","66","1","131","1","7","0","2","2","3",".217","12.4%","24.5%",".313",".393",".706",".176",".258","20.2%","39.0%","40.8%","13.1%",".310","-0.2","99","27.8%","68.7%","44.6%","62.7%","81.3%","11.4%","44.9%","32.4%","22.6%","13.7%","50.9%","35.4%","90.7","15.1","110.8","10.4%","43.5%","28.0%",".237",".410",".332","22197"
"Elvis Andrus","- - -","149","535","577","133","84","32","0","17","66","58","39","0","92","3","0","0","11","18","4",".249","6.8%","15.9%",".303",".404",".707",".155",".272","17.3%","46.5%","36.2%","10.7%",".310","3.5","105","32.8%","63.0%","45.4%","69.6%","88.7%","8.8%","40.6%","35.4%","23.9%","17.8%","52.6%","29.6%","87.9","11.9","109.9","4.5%","34.5%","27.4%",".245",".360",".293","8709"
"Alec Bohm","PHI","152","586","631","164","124","24","3","13","79","72","31","1","110","4","10","0","18","2","3",".280","4.9%","17.4%",".315",".398",".713",".118",".319","23.5%","46.1%","30.5%","8.8%",".310","1.5","98","35.4%","73.8%","51.2%","72.7%","87.1%","9.6%","33.7%","36.4%","29.8%","16.0%","52.5%","31.5%","90.2","10.4","110.8","6.8%","43.0%","24.1%",".290",".436",".333","21618"
"Joey Votto","CIN","91","322","376","66","36","18","1","11","31","41","44","0","97","10","0","0","8","0","0",".205","11.7%","25.8%",".319",".370",".689",".165",".257","18.2%","44.4%","37.3%","13.1%",".310","-0.9","92","28.8%","71.3%","46.5%","60.9%","79.9%","12.6%","40.0%","36.0%","24.0%","11.6%","54.7%","33.8%","89.7","14.2","111.9","11.1%","40.9%","26.6%",".218",".390",".322","4314"
"Jeremy Pena","HOU","136","521","558","132","88","20","2","22","72","63","22","0","135","6","5","1","5","11","2",".253","3.9%","24.2%",".289",".426",".715",".173",".298","20.7%","46.4%","32.9%","17.3%",".309","3.4","102","41.0%","76.6%","54.7%","52.7%","87.3%","15.7%","46.4%","30.9%","22.7%","16.1%","55.4%","28.6%","88.1","8.7","110.5","9.6%","36.2%","28.6%",".248",".397",".300","21636"
"Andrew McCutchen","MIL","134","515","580","122","80","25","0","17","66","69","57","1","124","4","4","0","10","8","6",".237","9.8%","21.4%",".316",".384",".700",".148",".278","20.8%","41.8%","37.5%","11.5%",".309","0.3","98","24.9%","71.6%","44.9%","59.8%","85.8%","10.1%","43.8%","37.5%","18.7%","13.9%","54.7%","31.4%","89.1","13.2","110.6","8.6%","40.0%","26.4%",".252",".406",".325","9847"
"Kyle Farmer","CIN","145","526","583","134","94","25","1","14","58","78","33","0","99","16","6","2","20","4","3",".255","5.7%","17.0%",".315",".386",".701",".131",".286","23.6%","44.8%","31.6%","10.2%",".309","1.4","92","38.8%","66.3%","50.2%","70.1%","91.7%","9.1%","43.7%","31.7%","24.6%","16.3%","53.3%","30.3%","85.5","12.7","106.6","4.4%","33.6%","26.3%",".258",".380",".311","14813"
"Mitch Garver","TEX","54","188","215","39","22","7","0","10","23","24","23","0","53","2","2","0","3","1","1",".207","10.7%","24.7%",".298",".404",".702",".197",".228","16.8%","34.3%","48.9%","14.9%",".308","0.3","101","27.1%","62.4%","42.2%","68.5%","82.9%","9.4%","58.4%","21.9%","19.7%","19.0%","47.4%","33.6%","88.9","18.4","111.4","8.8%","38.7%","29.4%",".222",".405",".319","15161"
"Manuel Margot","TBR","89","336","363","92","68","18","2","4","36","47","24","1","68","2","1","0","7","7","3",".274","6.6%","18.7%",".325",".375",".700",".101",".332","23.0%","44.8%","32.2%","4.8%",".308","1.5","106","36.9%","75.0%","52.1%","64.8%","87.6%","11.5%","30.1%","43.1%","26.8%","17.1%","56.9%","26.0%","89.5","10.2","110.4","3.7%","37.9%","24.9%",".264",".357",".299","14712"
"Carlos Santana","- - -","131","431","506","87","50","18","0","19","52","60","71","2","88","2","2","0","9","0","0",".202","14.0%","17.4%",".316",".376",".692",".174",".209","16.9%","39.2%","43.9%","12.6%",".308","1.0","102","25.7%","66.6%","42.6%","70.4%","85.9%","8.3%","48.4%","33.3%","18.3%","18.0%","47.0%","35.1%","90.7","15.4","111.3","9.3%","44.9%","26.0%",".253",".438",".352","2396"
"Nick Fortes","MIA","72","217","240","50","34","6","1","9","41","24","18","0","45","5","0","0","5","5","3",".230","7.5%","18.8%",".304",".392",".696",".161",".252","17.4%","40.1%","42.4%","12.3%",".308","1.4","100","29.7%","65.9%","44.7%","63.5%","89.2%","9.3%","44.8%","31.4%","23.8%","18.0%","50.0%","32.0%","89.3","15.4","108.4","7.0%","37.8%","26.6%",".249",".398",".319","21538"
"Gavin Sheets","CHW","124","377","410","91","57","19","0","15","34","53","27","0","86","3","3","0","9","0","0",".241","6.6%","21.0%",".295",".411",".706",".170",".272","15.0%","40.3%","44.7%","11.5%",".308","0.1","100","37.1%","63.5%","47.7%","72.1%","87.6%","9.4%","38.4%","36.7%","24.8%","19.7%","51.4%","28.9%","88.6","14.8","109.7","6.5%","36.1%","27.0%",".224",".359",".283","19901"
"Lane Thomas","WSN","146","498","548","120","75","26","2","17","62","52","41","0","132","4","5","0","8","8","4",".241","7.5%","24.1%",".301",".404",".705",".163",".291","17.3%","45.0%","37.7%","12.1%",".308","1.1","96","29.5%","63.3%","44.1%","68.7%","89.0%","8.3%","43.4%","34.5%","22.1%","23.2%","49.3%","27.5%","86.4","12.5","110.1","6.5%","34.0%","28.7%",".222",".357",".286","16939"
"Ben Gamel","PIT","115","371","423","86","55","20","2","9","42","46","48","2","98","3","1","0","5","5","1",".232","11.3%","23.2%",".324",".369",".693",".137",".291","21.9%","43.3%","34.8%","9.6%",".308","0.0","97","27.6%","65.6%","42.8%","58.7%","89.8%","9.5%","39.8%","36.9%","23.4%","15.0%","49.6%","35.4%","88.8","11.3","109.2","6.2%","37.2%","26.6%",".244",".372",".316","12160"
"Tyler O'Neill","STL","96","334","383","76","50","11","1","14","56","58","38","0","103","4","7","0","9","14","4",".228","9.9%","26.9%",".308",".392",".700",".165",".277","20.2%","42.0%","37.8%","15.6%",".307","1.3","101","29.6%","70.1%","46.3%","56.1%","82.4%","12.7%","46.6%","31.5%","21.8%","13.9%","54.2%","31.9%","89.8","13.6","110.3","11.3%","43.3%","28.8%",".240",".423",".331","15711"
"Mike Yastrzemski","SFG","148","485","558","104","54","31","2","17","73","57","61","0","141","5","6","1","3","5","1",".214","10.9%","25.3%",".305",".392",".697",".177",".261","19.4%","34.4%","46.2%","10.6%",".307","2.2","99","25.4%","64.0%","42.2%","61.6%","88.5%","8.7%","44.7%","32.2%","23.1%","15.4%","52.4%","32.2%","89.9","19.9","109.7","11.1%","42.5%","27.4%",".220",".392",".314","14854"
"P.J. Higgins","CHC","74","201","229","46","28","11","1","6","23","30","22","0","58","2","1","3","2","0","0",".229","9.6%","25.3%",".310",".383",".693",".154",".290","24.1%","42.6%","33.3%","12.8%",".306","0.1","97","28.2%","64.9%","42.8%","58.7%","86.9%","10.4%","38.1%","32.0%","29.9%","18.4%","63.3%","18.4%","86.0","8.7","104.3","3.4%","25.2%","29.6%",".205",".287",".264","18433"
